examId,questionId,category,suggestedImageHint,questionText
"deneme_sinavi_1","4","İlk Yardım","Soruda atıf yapılan şekil/resim görseli","Resimde görülen ilk yardım uygulaması,aşağıdaki durumların hangisinde tercih edilmez?"
"deneme_sinavi_1","17","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre, tek yönlü yolda 3 numaralı aracın sürücüsü şerit değiştirebilmek için aşağıdakilerden hangisinin gerçekleşmesini beklemelidir?"
"deneme_sinavi_1","18","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Yerleşim yeri dışında, trafik işaret levhalarına yaklaşım yönünde kaç metre mesafede duraklamak yasaktır?"
"deneme_sinavi_1","19","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Manevra yapacak sürücü aşağıdakilerden hangisini yapmalıdır?"
"deneme_sinavi_1","20","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi girişi olmayan yol işaret levhasıdır?"
"deneme_sinavi_1","21","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Bir araç çevreyi rahatsız edecek şekilde duman ve gürültü çıkarıyorsa aşağıdakilerden hangisi uygulanır?"
"deneme_sinavi_1","22","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Aksine bir işaret yoksa, dönüş yaparak doğrultu değiştirecek olan araç sürücülerinin aşağıdakilerden hangisini yapması yanlıştır?"
"deneme_sinavi_1","24","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Manevra yapacak sürücü aşağıdakilerden hangisini yapmalıdır?"
"deneme_sinavi_1","27","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre kontrolsüz kavşakta karşılaşan araçlardan hangisi ilk geçiş hakkını kullanmalıdır?"
"deneme_sinavi_1","28","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi yeterince aydınlatılmamış tünele giriş yapan aracın sürücüsü aşağıdakilerden hangisini yapmak zorundadır?"
